,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM,LOCATION,SWIM SEC,T1 SEC,BIKE SEC,T2 SEC,RUN SEC,TOTAL TIME SEC,ATHLETE
147,Taylor,Spivey,USA,5,0:09:24,0:00:58,0:33:42,0:00:28,0:18:40,11,1:03:14,Elite Women,Edmonton,564,58,2022,28,1120,3794,Taylor Spivey
148,Melanie,Santos,POR,25,0:09:35,0:00:58,0:33:32,0:00:27,0:18:40,12,1:03:15,Elite Women,Edmonton,575,58,2012,27,1120,3795,Melanie Santos
149,Gillian,Backhouse,AUS,4,0:09:25,0:00:55,0:33:43,0:00:28,0:18:42,13,1:03:16,Elite Women,Edmonton,565,55,2023,28,1122,3796,Gillian Backhouse
150,Lisa,Perterer,AUT,9,0:09:38,0:00:56,0:33:31,0:00:32,0:18:41,14,1:03:20,Elite Women,Edmonton,578,56,2011,32,1121,3800,Lisa Perterer
151,Paula,Findlay,CAN,33,0:09:41,0:01:00,0:33:24,0:00:28,0:18:56,15,1:03:32,Elite Women,Edmonton,581,60,2004,28,1136,3812,Paula Findlay
152,Claire,Michel,BEL,16,0:09:42,0:00:57,0:35:17,0:00:28,0:17:17,16,1:03:43,Elite Women,Edmonton,582,57,2117,28,1037,3823,Claire Michel
153,Carolina,Routier,ESP,18,0:09:22,0:00:59,0:34:03,0:00:32,0:19:11,17,1:04:08,Elite Women,Edmonton,562,59,2043,32,1151,3848,Carolina Routier
154,Vendula,Frintova,CZE,10,0:09:57,0:01:00,0:35:02,0:00:26,0:17:55,18,1:04:23,Elite Women,Edmonton,597,60,2102,26,1075,3863,Vendula Frintova
155,Vittoria,Lopes,BRA,24,0:09:19,0:01:01,0:33:44,0:00:29,0:19:56,19,1:04:31,Elite Women,Edmonton,559,61,2024,29,1196,3871,Vittoria Lopes
156,Felicity,Sheedy-Ryan,AUS,31,0:10:16,0:01:00,0:35:13,0:00:27,0:17:39,20,1:04:38,Elite Women,Edmonton,616,60,2113,27,1059,3878,Felicity Sheedy-Ryan
157,Nicole,Van Der Kaay,NZL,22,0:10:00,0:00:58,0:35:01,0:00:26,0:18:14,21,1:04:40,Elite Women,Edmonton,600,58,2101,26,1094,3880,Nicole Van Der Kaay
158,Yuko,Takahashi,JPN,6,0:09:32,0:00:59,0:35:24,0:00:29,0:18:37,22,1:05:04,Elite Women,Edmonton,572,59,2124,29,1117,3904,Yuko Takahashi
159,Simone,Ackermann,RSA,19,0:09:33,0:01:00,0:35:27,0:00:27,0:18:50,23,1:05:19,Elite Women,Edmonton,573,60,2127,27,1130,3919,Simone Ackermann
160,Gillian,Sanders,RSA,12,0:09:59,0:00:59,0:35:03,0:00:30,0:18:59,24,1:05:31,Elite Women,Edmonton,599,59,2103,30,1139,3931,Gillian Sanders
161,Dominika,Jamnicky,CAN,26,0:09:57,0:00:56,0:35:06,0:00:28,0:19:09,25,1:05:38,Elite Women,Edmonton,597,56,2106,28,1149,3938,Dominika Jamnicky
162,Jaz,Hedgeland,AUS,21,0:09:55,0:00:59,0:35:06,0:00:26,0:19:13,26,1:05:41,Elite Women,Edmonton,595,59,2106,26,1153,3941,Jaz Hedgeland
163,Anel,Radford,RSA,29,0:09:40,0:00:59,0:35:19,0:00:29,0:19:29,27,1:05:58,Elite Women,Edmonton,580,59,2119,29,1169,3958,Anel Radford
164,Yurie,Matsuda,JPN,17,0:10:15,0:01:01,0:35:14,0:00:26,0:19:29,28,1:06:27,Elite Women,Edmonton,615,61,2114,26,1169,3987,Yurie Matsuda
165,Erin,Storie,USA,30,0:09:29,0:01:07,0:35:25,0:00:31,0:20:49,29,1:07:22,Elite Women,Edmonton,569,67,2125,31,1249,4042,Erin Storie
166,Fuka,Sega,JPN,32,0:09:40,0:00:59,0:35:21,0:00:26,0:21:38,30,1:08:05,Elite Women,Edmonton,580,59,2121,26,1298,4085,Fuka Sega
167,Sara,Vilic,AUT,14,0:09:57,0:01:02,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Edmonton,597,62,0,0,0,0,Sara Vilic
168,Vanessa,Fernandes,POR,34,0:10:20,0:00:57,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Edmonton,620,57,0,0,0,0,Vanessa Fernandes
169,Sarah,Alexander,USA,28,0:10:22,0:01:04,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Edmonton,622,64,0,0,0,0,Sarah Alexander
170,Jose Antonio,Bodoque Sanchez,ESP,,,,,,,,,NF Medicals,Edmonton,0,0,0,0,0,0,Jose Antonio Bodoque Sanchez
171,Vicky,Annis,GBR,,,,,,,,,NF Medicals,Edmonton,0,0,0,0,0,0,Vicky Annis
172,Victor,Carapelho,USA,,,,,,,,,NF Medicals,Edmonton,0,0,0,0,0,0,Victor Carapelho
173,Sandeep,Nandhra,CAN,,,,,,,,,NF Medicals,Edmonton,0,0,0,0,0,0,Sandeep Nandhra
174,Mario,Mola,ESP,5,0:09:11,0:00:38,0:28:18,0:00:21,0:14:09,1,0:52:35,Elite Men,Gold Coast,551,38,1698,21,849,3155,Mario Mola
175,Richard,Murray,RSA,3,0:09:05,0:00:37,0:28:25,0:00:20,0:14:14,2,0:52:39,Elite Men,Gold Coast,545,37,1705,20,854,3159,Richard Murray
176,Fernando,Alarza,ESP,2,0:09:11,0:00:39,0:28:17,0:00:20,0:14:20,3,0:52:44,Elite Men,Gold Coast,551,39,1697,20,860,3164,Fernando Alarza
177,Javier,Gomez Noya,ESP,1,0:08:49,0:00:36,0:28:42,0:00:22,0:14:24,4,0:52:51,Elite Men,Gold Coast,529,36,1722,22,864,3171,Javier Gomez Noya
178,Jacob,Birtwhistle,AUS,14,0:09:11,0:00:38,0:28:19,0:00:19,0:14:38,5,0:53:03,Elite Men,Gold Coast,551,38,1699,19,878,3183,Jacob Birtwhistle
179,Luke,Willian,AUS,22,0:09:09,0:00:36,0:28:24,0:00:24,0:14:38,6,0:53:08,Elite Men,Gold Coast,549,36,1704,24,878,3188,Luke Willian
180,Ryan,Sissons,NZL,15,0:09:09,0:00:38,0:28:21,0:00:21,0:14:41,7,0:53:08,Elite Men,Gold Coast,549,38,1701,21,881,3188,Ryan Sissons
181,Henri,Schoeman,RSA,7,0:08:42,0:00:41,0:28:43,0:00:18,0:14:48,8,0:53:11,Elite Men,Gold Coast,522,41,1723,18,888,3191,Henri Schoeman
182,Wian,Sullwald,RSA,24,0:08:57,0:00:37,0:28:37,0:00:20,0:14:43,9,0:53:11,Elite Men,Gold Coast,537,37,1717,20,883,3191,Wian Sullwald
183,Shachar,Sagiv,ISR,30,0:09:16,0:00:38,0:28:15,0:00:21,0:14:46,10,0:53:14,Elite Men,Gold Coast,556,38,1695,21,886,3194,Shachar Sagiv
184,Kevin,McDowell,USA,17,0:09:14,0:00:40,0:28:16,0:00:20,0:14:49,11,0:53:17,Elite Men,Gold Coast,554,40,1696,20,889,3197,Kevin McDowell
185,Daniel,Hoy,NZL,36,0:09:13,0:00:37,0:28:19,0:00:21,0:14:53,12,0:53:20,Elite Men,Gold Coast,553,37,1699,21,893,3200,Daniel Hoy
186,Crisanto,Grajales,MEX,11,0:09:07,0:00:37,0:28:22,0:00:19,0:15:03,13,0:53:26,Elite Men,Gold Coast,547,37,1702,19,903,3206,Crisanto Grajales
187,Declan,Wilson,AUS,34,0:09:11,0:00:38,0:28:18,0:00:21,0:15:04,14,0:53:31,Elite Men,Gold Coast,551,38,1698,21,904,3211,Declan Wilson
188,Tony,Dodds,NZL,38,0:09:02,0:00:40,0:28:28,0:00:20,0:15:06,15,0:53:33,Elite Men,Gold Coast,542,40,1708,20,906,3213,Tony Dodds
189,Ryan,Bailie,AUS,12,0:09:16,0:00:39,0:28:12,0:00:20,0:15:10,16,0:53:35,Elite Men,Gold Coast,556,39,1692,20,910,3215,Ryan Bailie
190,Ryan,Fisher,AUS,29,0:09:05,0:00:39,0:28:05,0:00:19,0:15:30,17,0:53:37,Elite Men,Gold Coast,545,39,1685,19,930,3217,Ryan Fisher
191,Matthew,Hauser,AUS,45,0:08:56,0:00:37,0:28:33,0:00:18,0:15:17,18,0:53:39,Elite Men,Gold Coast,536,37,1713,18,917,3219,Matthew Hauser
192,Vicente,Hernandez,ESP,16,0:09:07,0:00:40,0:28:23,0:00:26,0:15:07,19,0:53:41,Elite Men,Gold Coast,547,40,1703,26,907,3221,Vicente Hernandez
193,Christophe,De Keyser,BEL,43,0:09:08,0:00:39,0:28:21,0:00:19,0:15:19,20,0:53:44,Elite Men,Gold Coast,548,39,1701,19,919,3224,Christophe De Keyser
194,Davide,Uccellari,ITA,37,0:09:06,0:00:42,0:28:23,0:00:21,0:15:20,21,0:53:51,Elite Men,Gold Coast,546,42,1703,21,920,3231,Davide Uccellari
195,Drew,Box,AUS,19,0:09:08,0:00:37,0:28:25,0:00:19,0:15:23,22,0:53:51,Elite Men,Gold Coast,548,37,1705,19,923,3231,Drew Box
196,Ben,Kanute,USA,9,0:08:45,0:00:39,0:28:42,0:00:19,0:15:29,23,0:53:52,Elite Men,Gold Coast,525,39,1722,19,929,3232,Ben Kanute
197,Matthew,Baker,AUS,28,0:09:03,0:00:37,0:28:28,0:00:21,0:15:31,24,0:53:57,Elite Men,Gold Coast,543,37,1708,21,931,3237,Matthew Baker
198,Gregory,Billington,USA,4,0:08:59,0:00:40,0:28:31,0:00:24,0:15:29,25,0:54:02,Elite Men,Gold Coast,539,40,1711,24,929,3242,Gregory Billington
199,Tayler,Reid,NZL,35,0:08:52,0:00:36,0:28:42,0:00:21,0:15:38,26,0:54:07,Elite Men,Gold Coast,532,36,1722,21,938,3247,Tayler Reid
200,Gábor,Faldum,HUN,18,0:09:09,0:00:37,0:28:22,0:00:17,0:15:48,27,0:54:11,Elite Men,Gold Coast,549,37,1702,17,948,3251,Gábor Faldum
201,Bob,Haller,LUX,33,0:09:10,0:00:38,0:28:22,0:00:21,0:15:47,28,0:54:15,Elite Men,Gold Coast,550,38,1702,21,947,3255,Bob Haller
202,Trent,Thorpe,NZL,44,0:08:47,0:00:38,0:28:46,0:00:19,0:15:50,29,0:54:18,Elite Men,Gold Coast,527,38,1726,19,950,3258,Trent Thorpe
203,Yuichi,Hosoda,JPN,32,0:09:11,0:00:40,0:28:19,0:00:20,0:15:56,30,0:54:23,Elite Men,Gold Coast,551,40,1699,20,956,3263,Yuichi Hosoda
204,Erwin,Vanderplancke,BEL,40,0:09:10,0:00:38,0:28:17,0:00:19,0:16:08,31,0:54:30,Elite Men,Gold Coast,550,38,1697,19,968,3270,Erwin Vanderplancke
205,Henrik,Goesch,FIN,41,0:09:17,0:00:39,0:28:16,0:00:23,0:15:59,32,0:54:32,Elite Men,Gold Coast,557,39,1696,23,959,3272,Henrik Goesch
206,Marcel,Walkington,AUS,8,0:09:04,0:00:41,0:28:24,0:00:27,0:16:11,33,0:54:45,Elite Men,Gold Coast,544,41,1704,27,971,3285,Marcel Walkington
207,Jumpei,Furuya,JPN,26,0:09:03,0:00:41,0:28:24,0:00:19,0:16:47,34,0:55:12,Elite Men,Gold Coast,543,41,1704,19,1007,3312,Jumpei Furuya
208,Joao,Silva,POR,10,0:09:11,0:00:40,0:30:11,0:00:22,0:15:06,35,0:55:27,Elite Men,Gold Coast,551,40,1811,22,906,3327,Joao Silva
209,Matthew,McElroy,USA,21,0:09:15,0:00:39,0:30:06,0:00:19,0:15:37,36,0:55:54,Elite Men,Gold Coast,555,39,1806,19,937,3354,Matthew McElroy
210,Shogo,Ishitsuka,JPN,39,0:09:01,0:00:38,0:30:23,0:00:24,0:16:46,37,0:57:10,Elite Men,Gold Coast,541,38,1823,24,1006,3430,Shogo Ishitsuka
211,Sam,Ward,NZL,27,0:09:12,0:00:40,0:31:24,0:00:22,0:15:50,38,0:57:26,Elite Men,Gold Coast,552,40,1884,22,950,3446,Sam Ward
212,Jung Ki,Kim,KOR,50,0:09:14,0:00:39,0:30:11,0:00:29,0:17:32,39,0:58:03,Elite Men,Gold Coast,554,39,1811,29,1052,3483,Jung Ki Kim
213,Jonas,Schomburg,ITU,23,0:09:09,0:00:40,0:31:26,0:00:19,0:16:33,40,0:58:05,Elite Men,Gold Coast,549,40,1886,19,993,3485,Jonas Schomburg
214,Kwang Hoon,Lee,KOR,49,0:09:05,0:00:38,0:31:30,0:00:20,0:17:44,41,0:59:16,Elite Men,Gold Coast,545,38,1890,20,1064,3556,Kwang Hoon Lee
215,Gyuhyung,Lee,KOR,48,0:09:14,0:00:38,0:32:27,0:00:22,0:17:01,42,0:59:41,Elite Men,Gold Coast,554,38,1947,22,1021,3581,Gyuhyung Lee
216,Santiago,Beltran,ARG,46,0:09:44,0:00:43,0:31:55,0:00:21,0:17:24,43,1:00:05,Elite Men,Gold Coast,584,43,1915,21,1044,3605,Santiago Beltran
217,Tamás,Tóth,HUN,25,0:09:16,0:00:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Gold Coast,556,39,0,0,0,0,Tamás Tóth
218,Matthew,Sharpe,CAN,20,0:09:06,0:00:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Gold Coast,546,39,0,0,0,0,Matthew Sharpe
219,András,Czigány,HUN,47,0:08:54,0:00:36,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Gold Coast,534,36,0,0,0,0,András Czigány
220,Andrea,Salvisberg,SUI,6,0:09:03,0:00:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Gold Coast,543,39,0,0,0,0,Andrea Salvisberg
221,Flavio,Morandini,ARG,42,0:09:07,0:00:39,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Gold Coast,547,39,0,0,0,0,Flavio Morandini
222,Andrea,Hewitt,NZL,1,0:09:53,0:00:43,0:30:33,0:00:19,0:16:37,1,0:58:03,Elite Women,Gold Coast,593,43,1833,19,997,3483,Andrea Hewitt
223,Ashleigh,Gentle,AUS,21,0:10:00,0:00:43,0:30:28,0:00:21,0:16:37,2,0:58:07,Elite Women,Gold Coast,600,43,1828,21,997,3487,Ashleigh Gentle
224,Juri,Ide,JPN,28,0:10:02,0:00:44,0:30:27,0:00:20,0:16:41,3,0:58:12,Elite Women,Gold Coast,602,44,1827,20,1001,3492,Juri Ide
225,Katie,Zaferes,USA,6,0:09:38,0:00:43,0:30:49,0:00:22,0:16:49,4,0:58:20,Elite Women,Gold Coast,578,43,1849,22,1009,3500,Katie Zaferes
226,Renee,Tomlin,USA,17,0:10:05,0:00:42,0:30:25,0:00:23,0:16:48,5,0:58:21,Elite Women,Gold Coast,605,42,1825,23,1008,3501,Renee Tomlin
227,Charlotte,McShane,AUS,11,0:09:50,0:00:41,0:30:40,0:00:19,0:16:54,6,0:58:22,Elite Women,Gold Coast,590,41,1840,19,1014,3502,Charlotte McShane
228,Kirsten,Kasper,USA,12,0:09:42,0:00:42,0:30:46,0:00:24,0:16:52,7,0:58:24,Elite Women,Gold Coast,582,42,1846,24,1012,3504,Kirsten Kasper
229,Ai,Ueda,JPN,4,0:10:11,0:00:41,0:30:19,0:00:20,0:17:02,8,0:58:31,Elite Women,Gold Coast,611,41,1819,20,1022,3511,Ai Ueda
230,Gillian,Sanders,RSA,15,0:10:12,0:00:42,0:30:20,0:00:22,0:17:02,9,0:58:37,Elite Women,Gold Coast,612,42,1820,22,1022,3517,Gillian Sanders
231,Vendula,Frintova,CZE,10,0:09:49,0:00:42,0:30:41,0:00:19,0:17:09,10,0:58:38,Elite Women,Gold Coast,589,42,1841,19,1029,3518,Vendula Frintova
232,Emma,Jeffcoat,AUS,23,0:09:33,0:00:43,0:30:54,0:00:22,0:17:10,11,0:58:39,Elite Women,Gold Coast,573,43,1854,22,1030,3519,Emma Jeffcoat
233,Summer,Cook,USA,18,0:09:28,0:00:45,0:31:02,0:00:21,0:17:05,12,0:58:40,Elite Women,Gold Coast,568,45,1862,21,1025,3520,Summer Cook
234,Taylor,Spivey,USA,24,0:09:39,0:00:42,0:30:48,0:00:22,0:17:12,13,0:58:41,Elite Women,Gold Coast,579,42,1848,22,1032,3521,Taylor Spivey
235,Lisa,Perterer,AUT,7,0:10:06,0:00:39,0:30:27,0:00:23,0:17:10,14,0:58:43,Elite Women,Gold Coast,606,39,1827,23,1030,3523,Lisa Perterer
236,Gillian,Backhouse,AUS,5,0:09:37,0:00:42,0:30:49,0:00:20,0:17:19,15,0:58:45,Elite Women,Gold Coast,577,42,1849,20,1039,3525,Gillian Backhouse
237,Jodie,Stimpson,GBR,2,0:09:53,0:00:40,0:30:38,0:00:23,0:17:14,16,0:58:46,Elite Women,Gold Coast,593,40,1838,23,1034,3526,Jodie Stimpson
238,Claudia,Rivas,MEX,31,0:09:52,0:00:42,0:30:38,0:00:26,0:17:17,17,0:58:53,Elite Women,Gold Coast,592,42,1838,26,1037,3533,Claudia Rivas
239,Yurie,Matsuda,JPN,27,0:10:05,0:00:41,0:30:28,0:00:21,0:17:21,18,0:58:54,Elite Women,Gold Coast,605,41,1828,21,1041,3534,Yurie Matsuda
240,Rebecca,Spence,NZL,9,0:10:11,0:00:43,0:30:19,0:00:24,0:17:33,19,0:59:08,Elite Women,Gold Coast,611,43,1819,24,1053,3548,Rebecca Spence
241,Natalie,Van Coevorden,AUS,40,0:09:47,0:00:42,0:30:42,0:00:23,0:17:43,20,0:59:16,Elite Women,Gold Coast,587,42,1842,23,1063,3556,Natalie Van Coevorden
242,Yuko,Takahashi,JPN,8,0:09:41,0:00:45,0:30:46,0:00:20,0:17:47,21,0:59:17,Elite Women,Gold Coast,581,45,1846,20,1067,3557,Yuko Takahashi
243,Joanna,Brown,CAN,30,0:09:48,0:00:42,0:30:42,0:00:23,0:17:56,22,0:59:29,Elite Women,Gold Coast,588,42,1842,23,1076,3569,Joanna Brown
244,Tamsyn,Moana-Veale,AUS,43,0:09:50,0:00:41,0:30:44,0:00:23,0:17:59,23,0:59:35,Elite Women,Gold Coast,590,41,1844,23,1079,3575,Tamsyn Moana-Veale
245,Cecilia,Perez,MEX,38,0:09:49,0:00:45,0:30:40,0:00:22,0:18:11,24,0:59:46,Elite Women,Gold Coast,589,45,1840,22,1091,3586,Cecilia Perez
246,Rachel,Klamer,NED,3,0:09:48,0:00:44,0:30:41,0:00:20,0:18:16,25,0:59:46,Elite Women,Gold Coast,588,44,1841,20,1096,3586,Rachel Klamer
247,Simone,Ackermann,RSA,32,0:09:51,0:00:42,0:30:40,0:00:23,0:18:30,26,1:00:04,Elite Women,Gold Coast,591,42,1840,23,1110,3604,Simone Ackermann
248,Jaz,Hedgeland,AUS,29,0:09:40,0:00:40,0:30:53,0:00:21,0:18:38,27,1:00:10,Elite Women,Gold Coast,580,40,1853,21,1118,3610,Jaz Hedgeland
249,Sophie,Corbidge,NZL,42,0:10:07,0:00:41,0:30:26,0:00:22,0:19:14,28,1:00:48,Elite Women,Gold Coast,607,41,1826,22,1154,3648,Sophie Corbidge
250,Zsófia,Kovács,HUN,33,0:09:52,0:00:43,0:32:24,0:00:24,0:18:16,29,1:01:38,Elite Women,Gold Coast,592,43,1944,24,1096,3698,Zsófia Kovács
251,Nicole,Van Der Kaay,NZL,34,0:10:01,0:00:40,0:32:09,0:00:22,0:18:33,30,1:01:44,Elite Women,Gold Coast,601,40,1929,22,1113,3704,Nicole Van Der Kaay
252,Yuka,Sato,JPN,25,0:09:54,0:00:49,0:32:12,0:00:22,0:18:35,31,1:01:50,Elite Women,Gold Coast,594,49,1932,22,1115,3710,Yuka Sato
253,Claire,Michel,BEL,26,0:10:05,0:00:46,0:33:38,0:00:24,0:17:02,32,1:01:54,Elite Women,Gold Coast,605,46,2018,24,1022,3714,Claire Michel
254,Elise,Salt,NZL,37,0:10:10,0:00:42,0:32:06,0:00:22,0:19:00,33,1:02:19,Elite Women,Gold Coast,610,42,1926,22,1140,3739,Elise Salt
255,Sarah,TRUE,USA,20,0:09:30,0:00:43,0:34:17,0:00:24,0:18:04,34,1:02:57,Elite Women,Gold Coast,570,43,2057,24,1084,3777,Sarah TRUE
256,Sena,Takahashi,JPN,35,0:09:56,0:00:44,0:33:50,0:00:24,0:18:06,35,1:02:58,Elite Women,Gold Coast,596,44,2030,24,1086,3778,Sena Takahashi
257,Carolina,Routier,ESP,19,0:09:26,0:00:43,0:34:21,0:00:22,0:18:11,36,1:03:02,Elite Women,Gold Coast,566,43,2061,22,1091,3782,Carolina Routier
258,Aoi,Kuramoto,JPN,16,0:09:54,0:00:43,0:33:51,0:00:23,0:18:36,37,1:03:25,Elite Women,Gold Coast,594,43,2031,23,1116,3805,Aoi Kuramoto
259,Yun-Jung,Jang,KOR,45,0:10:04,0:00:43,0:33:45,0:00:23,0:19:16,38,1:04:09,Elite Women,Gold Coast,604,43,2025,23,1156,3849,Yun-Jung Jang
260,Deborah,Lynch,NZL,36,0:10:13,0:00:41,0:34:17,0:00:21,0:18:56,39,1:04:25,Elite Women,Gold Coast,613,41,2057,21,1136,3865,Deborah Lynch
261,Long,Hoi,MAC,44,0:10:28,0:00:43,0:34:55,0:00:22,0:19:03,40,1:05:29,Elite Women,Gold Coast,628,43,2095,22,1143,3929,Long Hoi
262,Sukhyeon,Choi,KOR,46,0:10:10,0:00:42,0:35:27,0:00:25,0:19:24,41,1:06:06,Elite Women,Gold Coast,610,42,2127,25,1164,3966,Sukhyeon Choi
263,Emma,Jackson,AUS,22,0:09:42,0:00:43,0:30:49,0:00:25,0:00:00,DNF,DNF,Elite Women,Gold Coast,582,43,1849,25,0,0,Emma Jackson
264,Alice,Betto,ITA,14,0:09:40,0:00:41,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Gold Coast,580,41,0,0,0,0,Alice Betto
265,Chelsea,Burns,USA,39,0:09:53,0:00:42,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Women,Gold Coast,593,42,0,0,0,0,Chelsea Burns
266,Rachel,James,PNG,47,0:12:22,0:00:49,0:00:00,0:00:00,0:00:00,LAP,LAP,Elite Women,Gold Coast,742,49,0,0,0,0,Rachel James
267,Carlyn,Fischer,RSA,41,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNS,DNS,Elite Women,Gold Coast,0,0,0,0,0,0,Carlyn Fischer
268,Gavin,O'Sullivan,USA,,,,,,,,,NF Medicals,Gold Coast,0,0,0,0,0,0,Gavin O'Sullivan
269,Richard,Newsham West,GBR,,,,,,,,,NF Medicals,Gold Coast,0,0,0,0,0,0,Richard Newsham West
270,Stacey,Compton,AUS,,,,,,,,,NF Medicals,Gold Coast,0,0,0,0,0,0,Stacey Compton
271,Mario,Mola,ESP,1,0:19:02,0:01:32,1:00:25,0:00:27,0:30:11,3,1:51:36,Elite Men,Rotterdam,1142,92,3625,27,1811,6696,Mario Mola
272,Javier,Gomez Noya,ESP,2,0:18:49,0:01:34,1:00:38,0:00:15,0:30:27,4,1:51:41,Elite Men,Rotterdam,1129,94,3638,15,1827,6701,Javier Gomez Noya
273,Richard,Murray,RSA,3,0:19:08,0:01:34,1:00:19,0:00:25,0:30:43,6,1:52:06,Elite Men,Rotterdam,1148,94,3619,25,1843,6726,Richard Murray
274,Fernando,Alarza,ESP,4,0:18:52,0:01:40,1:00:35,0:00:30,0:31:17,11,1:52:52,Elite Men,Rotterdam,1132,100,3635,30,1877,6772,Fernando Alarza
275,Kristian,Blummenfelt,NOR,5,0:19:16,0:01:39,1:00:00,0:00:23,0:30:12,2,1:51:28,Elite Men,Rotterdam,1156,99,3600,23,1812,6688,Kristian Blummenfelt
276,Jonathan,Brownlee,GBR,6,0:18:44,0:01:34,1:00:37,0:00:23,0:30:35,5,1:51:52,Elite Men,Rotterdam,1124,94,3637,23,1835,6712,Jonathan Brownlee
277,Ryan,Sissons,NZL,7,0:19:27,0:01:36,1:02:14,0:00:31,0:31:14,23,1:54:59,Elite Men,Rotterdam,1167,96,3734,31,1874,6899,Ryan Sissons
278,Thomas,Bishop,GBR,8,0:19:00,0:01:39,1:00:19,0:00:28,0:31:10,10,1:52:34,Elite Men,Rotterdam,1140,99,3619,28,1870,6754,Thomas Bishop
279,Pierre,Le Corre,FRA,9,0:18:47,0:01:41,1:00:35,0:00:24,0:31:06,7,1:52:31,Elite Men,Rotterdam,1127,101,3635,24,1866,6751,Pierre Le Corre
280,Jacob,Birtwhistle,AUS,10,0:19:32,0:01:41,0:00:00,0:00:00,0:00:00,DNF,DNF,Elite Men,Rotterdam,1172,101,0,0,0,0,Jacob Birtwhistle
281,Vincent,Luis,FRA,12,0:18:52,0:01:31,1:00:33,0:00:32,0:29:59,1,1:51:26,Elite Men,Rotterdam,1132,91,3633,32,1799,6686,Vincent Luis
282,Andreas,Schilling,DEN,14,0:19:05,0:01:41,1:00:10,0:00:24,0:31:16,9,1:52:33,Elite Men,Rotterdam,1145,101,3610,24,1876,6753,Andreas Schilling
283,Vicente,Hernandez,ESP,15,0:19:10,0:01:35,1:00:17,0:00:27,0:31:39,12,1:53:07,Elite Men,Rotterdam,1150,95,3617,27,1899,6787,Vicente Hernandez
284,Simon,Viain,FRA,16,0:19:25,0:01:37,1:02:15,0:00:40,0:31:33,27,1:55:28,Elite Men,Rotterdam,1165,97,3735,40,1893,6928,Simon Viain
285,Wian,Sullwald,RSA,17,0:18:59,0:01:34,1:02:49,0:00:31,0:36:10,53,2:00:01,Elite Men,Rotterdam,1139,94,3769,31,2170,7201,Wian Sullwald
286,Henri,Schoeman,RSA,11,0:18:48,0:01:39,1:02:57,0:00:27,0:36:06,52,1:59:56,Elite Men,Rotterdam,1128,99,3777,27,2166,7196,Henri Schoeman
287,Aaron,Royle,AUS,18,0:18:43,0:01:41,1:00:38,0:00:25,0:32:18,14,1:53:43,Elite Men,Rotterdam,1123,101,3638,25,1938,6823,Aaron Royle
288,Crisanto,Grajales,MEX,19,0:19:23,0:01:42,1:02:16,0:00:32,0:31:52,29,1:55:43,Elite Men,Rotterdam,1163,102,3736,32,1912,6943,Crisanto Grajales
289,Richard,Varga,SVK,20,0:18:36,0:01:41,1:00:46,0:00:26,0:32:56,19,1:54:23,Elite Men,Rotterdam,1116,101,3646,26,1976,6863,Richard Varga
290,Igor,Polyanskiy,RUS,21,0:18:45,0:01:46,1:02:43,0:00:27,0:32:26,34,1:56:05,Elite Men,Rotterdam,1125,106,3763,27,1946,6965,Igor Polyanskiy
291,Adam,Bowden,GBR,22,0:18:57,0:01:35,1:02:50,0:00:28,0:31:11,24,1:55:00,Elite Men,Rotterdam,1137,95,3770,28,1871,6900,Adam Bowden
292,Andrea,Salvisberg,SUI,23,0:18:51,0:01:35,1:00:39,0:00:27,0:38:13,51,1:59:44,Elite Men,Rotterdam,1131,95,3639,27,2293,7184,Andrea Salvisberg
293,Rostislav,Pevtsov,AZE,24,0:19:28,0:01:43,1:02:08,0:00:26,0:30:54,21,1:54:37,Elite Men,Rotterdam,1168,103,3728,26,1854,6877,Rostislav Pevtsov
294,Lukas,Hollaus,AUT,25,0:19:29,0:01:39,1:02:10,0:00:27,0:31:20,25,1:55:02,Elite Men,Rotterdam,1169,99,3730,27,1880,6902,Lukas Hollaus
295,Marc,Austin,GBR,26,0:19:03,0:01:38,1:00:28,0:00:21,0:33:28,22,1:54:56,Elite Men,Rotterdam,1143,98,3628,21,2008,6896,Marc Austin
296,Matthew,McElroy,USA,27,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,DNF,DNS,Elite Men,Rotterdam,0,0,0,0,0,0,Matthew McElroy
297,Joao,Pereira,POR,28,0:19:03,0:01:32,1:00:28,0:00:25,0:31:05,8,1:52:32,Elite Men,Rotterdam,1143,92,3628,25,1865,6752,Joao Pereira
